timestamp,sub_region_code,subba-name,parent,parent-name,timezone,demand_mwh,value-units
2025-06-30,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Arizona,300598,megawatthours
2025-06-30,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Central,299047,megawatthours
2025-06-30,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Eastern,298151,megawatthours
2025-06-30,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Mountain,299846,megawatthours
2025-06-30,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Pacific,300598,megawatthours
2025-06-30,SCE,Southern California Edison,CISO,California Independent System Operator,Arizona,346174,megawatthours
2025-06-30,SCE,Southern California Edison,CISO,California Independent System Operator,Central,345108,megawatthours
2025-06-30,SCE,Southern California Edison,CISO,California Independent System Operator,Eastern,344408,megawatthours
2025-06-30,SCE,Southern California Edison,CISO,California Independent System Operator,Mountain,345714,megawatthours
2025-06-30,SCE,Southern California Edison,CISO,California Independent System Operator,Pacific,346174,megawatthours
2025-06-30,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Arizona,55137,megawatthours
2025-06-30,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Central,54964,megawatthours
2025-06-30,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Eastern,54872,megawatthours
2025-06-30,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Mountain,55039,megawatthours
2025-06-30,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Pacific,55137,megawatthours
2025-06-30,VEA,Valley Electric Association,CISO,California Independent System Operator,Arizona,2821,megawatthours
2025-06-30,VEA,Valley Electric Association,CISO,California Independent System Operator,Central,2803,megawatthours
2025-06-30,VEA,Valley Electric Association,CISO,California Independent System Operator,Eastern,2793,megawatthours
2025-06-30,VEA,Valley Electric Association,CISO,California Independent System Operator,Mountain,2813,megawatthours
2025-06-30,VEA,Valley Electric Association,CISO,California Independent System Operator,Pacific,2821,megawatthours
2025-06-30,0001,Zone 1,MISO,"Midcontinent Independent System Operator, Inc.",Central,286029,megawatthours
2025-06-30,0001,Zone 1,MISO,"Midcontinent Independent System Operator, Inc.",Eastern,286107,megawatthours
2025-06-30,0004,Zone 4,MISO,"Midcontinent Independent System Operator, Inc.",Central,145461,megawatthours
2025-06-30,0004,Zone 4,MISO,"Midcontinent Independent System Operator, Inc.",Eastern,145415,megawatthours
2025-06-30,0006,Zone 6,MISO,"Midcontinent Independent System Operator, Inc.",Central,298983,megawatthours
2025-06-30,0006,Zone 6,MISO,"Midcontinent Independent System Operator, Inc.",Eastern,298540,megawatthours
2025-06-30,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",Central,555707,megawatthours
2025-06-30,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",Eastern,555305,megawatthours
